Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
2021 Summer Intern (IT/Computer Science/Data Science/Security),$71K-$118K (Glassdoor est.),"Sorry no VISA sponsorship opportunities....including OPT/CPT.

Locations: Carmel, Indiana and Eagan, Minnesota

Are you looking for a“high-powered” internship for the Summer of 2021? Are you ready to make a difference and bring your great ideas to help MISO keep the lights on? If so, read on…

We need a diversified group of smart, motivated problem solvers to overcome challenges that face the Energy industry as it rapidly changes. As a MISO Intern, you will address business opportunities and make an impact!

As our MISO Intern, you will…
Participate on projects that build on and broaden your technical skills and will prepare you for future roles as leaders and change agents.
Be given the opportunity to present your project results, and make recommendations to your department, team members, and company leadership.
Have a manager and mentor with the team you join, as well as a“buddy” from a different department for additional MISO connections.
In light of the current conditions, MISO is committed to the health and safety of our employees. As we plan for our 2021 Summer Internship Program you can expect to…
Work an average of 30– 40 hours per week
Have a virtual, in office, or hybrid experience
Start the middle/end of May and end mid-August
Qualifications:
Coming into this role you would have completed your sophomore or junior year of college
Demonstration of MISO Core Values: Integrity, Commitment, Collaboration, Creativity, and Adaptability
We are looking for students with the following majors/areas of interest:
Computer Science
Data Analytics / Data Science
Cyber Security
Computer Information Technology
MISO manages the electricity superhighway in the Central U.S. Through use of groundbreaking research and advanced technology, our highly skilled employees ensure power flows reliably to 42 million customers. Operating the electricity grid, running a robust energy market, planning for a bright future– it’s what our immensely talented and dedicated team does every day.

To learn more about MISO’s Internship Program, check out the following links:

Watch MISO's 90 Second Video

MISO's Intern Experience

MISO's Internship",3.2,"MISO
3.2","Carmel, IN",-1,501 to 1000 Employees,1998,Nonprofit Organization,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,-1
Data Science Intern,$71K-$118K (Glassdoor est.),"Summer 2021
Shure offers a challenging and rewarding summer internship program. The twelve week program is offered to undergraduate students that have completed at least 2 years of college, as well as graduate students. Each intern will receive a competitive salary and students who reside out of Illinois will receive a housing stipend to cover living expenses. Applications will be collected, reviewed and selected candidates will be contacted in late fall/early winter.
As a Data Science Intern, you will work with a team of engineers who research, prototype, implement and demonstrate use cases in machine learning and artificial intelligence that make Shure products smarter, more performant, and more insightful. You will identify and capture datasets that you will use to train and assess predictive models that derive insights from structured and/or unstructured data.


Minimum two years of coursework in statistics, mathematics, computer science, or related field with coursework in data science
Masters level candidates a plus
Experience with big data technologies and cloud-based services for data storage and processing
Knowledge of machine learning and deep learning models and frameworks
Knowledge of full stack development with languages such as Python, Java, JavaScript, and C++
Experience with embedded development is desired
Creativity and curiosity for future technologies and a passion for realizing new capabilities",4.1,"Shure Incorporated
4.1","Niles, IL",-1,1001 to 5000 Employees,1925,Company - Private,Consumer Products Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
Sr. Data Scientist,$71K-$118K (Glassdoor est.),"Overview:

Medifast is seeking a full-time Senior Data Scientist to join our team.

The Senior Data Scientist will be responsible for anticipating future business needs, solving real-time business questions, and identifying new applications for complex analysis.

The candidate focus will be using Machine Learning for the following use cases at Medifast:
Demand Forecasting, Recommendation Engines, Sentiments Analysis, Survival Analysis, Natural Language Processing, AB Testing, and Customer Segmentation (Unsupervised Learning).

Responsibilities:
Employ machine learning and statistical modeling to generate new features to feed into our data core. Key Models include: Demand Forecasting, Recommendation Engines, Sentiments Analysis, Survival Analysis, and Customer Segmentation
Use storytelling to bring out the insights derived from machine learning and statistical modeling making the complex easy to follow and digestible
Perform automated market analyses to dynamically react to changing market conditions
Discover new predictive insights in our datasets and design measures that compute new predictive models while using data visualization methodology
Assist the Insights Center Manager in using Data Science to enhance the Insights Roadmap and assist in the selection of Data Science products to help enable and maintain the Data Science stack
Create measures that monitor inputs and performance on a real-time basis to inform the insights council when unexpected changes arise.
Be active in communications with business users and data management resources to collaborate through a project lifecycle as data changes occur
Aid and train end super users to effectively use the Data Science platform
Coordinate with offshore technical resources
Qualifications:
PHD degree or equivalent preferred in Applied Statistics, Mathematics or a related data field
5-8 years related experience
Executing solutions to business problems using advanced statistics, testing methods, data analysis, data mining, predictive modeling, optimization, and machine learning techniques;
Design and run end-to-end experiments with statistical rigor for test and learn, apply appropriate sampling methods and probabilistic simulations to hypothesis testing and parameter estimation including bootstrapping
Perform data exploration and visualization (using Tableau and other visualization tools), apply machine learning and statistical inference to seed hypotheses, identify opportunities, define metrics, provide interpretability to multi-dimensional scoring, regressor and classifier models, and decision tree learning, using novel methods;
Employ statistical programming through, Python, R, Dataiku, and toolkits (Scikit-learn, Pandas, Numpy, Scipy, PySpark, Jupyter Notebook and kernel, Macro) across disparate environments including Linux/Unix command line and shell scripting, virtual and clouds
Execute and automate data preprocessing via relational systems (AWS, Redshift, SQL Server, MySQL, Postgre, and, Oracle), and parallel computing for big data, using analytics engine and cluster computing frameworks: Apache Spark and Hadoop MapReduce, Apache Tez, and Yarn.

#LI-LW1",2.9,"Medifast, Inc.
2.9","Baltimore, MD",-1,501 to 1000 Employees,1980,Company - Public,"Health, Beauty, & Fitness",Consumer Services,$500 million to $1 billion (USD),-1
Data Scientist,$71K-$118K (Glassdoor est.),"Publishers Clearing House (PCH), located in Jericho, NY is looking for a strongData Scientist who is passionate about using the power of algorithms to drive customer engagement and monetization. As a part of our Analytics team, you will be utilizing enormous volumes of data on customers, PCH products, channels, and developing advanced statistical algorithms to solve unique business problems. This is an exciting opportunity to work with big data to build data products backed by algorithms to delight customers and to drive significant advances in PCH Commerce (online and Direct Mail), Search, Online Gaming, and Digital Advertising business.

Responsibilities include but are not limited to:
Work comfortably with multi-terabyte, and billion+ rows data to extract insights and building predictive models to maximize profit
Utilize large-scale data mining and machine learning techniques to discover actionable patterns in the data
Perform rigorous model development, evaluation, design hypothesis tests, oversee test execution and result evaluation
Communicate complex analyses in a clear and actionable manner
Desired skills, experience& qualifications:
Masters degree required in Machine Learning, Applied Math, Computer Science, Economics, Statistics, or a related quantitative field
2 to 5 years’ experience in building predictive models using SAS Enterprise Guide (EG) , SAS Enterprise Miner or/and Python
Solid understanding of advanced statistical concepts, especially related to modelling is a must
Experience with publishers and or ad tech companies, experience in media, advertising and marketing vertical is a plus
Knowledge of programmatic advertising and digital acquisition. Experience in building optimization models /algorithms for media spends and maximize CPM
Experience working with enterprise-level digital analytics platform such as Google Analytics is a plus
Experience with cloud platforms AWS or Google Could Platforms (preferred)
Experience with ETL and building data pipelines and familiarity with distributed storage and big data computing technology is a plus
Excellent communication and presentation skills
Publishers Clearing House (PCH), headquartered in Jericho, NY, and with offices in NYC, Portland, ME and Boston, MA, is a leading direct-to-consumer company offering a broad range of products, digital entertainment services to consumers as well as customized solutions for advertisers. Our continued success in today’s new digital publishing environment is built on PCH’s unique, free-to-play, chance-to-win value proposition, which enables individually personalized offers based on the trusted first-party relationship we maintain with millions of consumers and is fueled by the excitement of the Publishers Clearing House brand.

Join our winning team and apply today!

This position is located in Jericho, NY. Candidates must reside in the NY tri-state area

PCH is an Equal Opportunity Employer",3.4,"Publishers Clearing House
3.4","Jericho, NY",-1,501 to 1000 Employees,1953,Company - Private,Advertising & Marketing,Business Services,$500 million to $1 billion (USD),-1
Data Scientist (COVID-19) - ACESO,$71K-$118K (Glassdoor est.),"Join the HJF Team!*
HJF is seeking a *Data Scientist* (COVID-19) to support the Austere environments Consortium for Enhanced Sepsis Outcomes (ACESO), located in Bethesda, MD. HJF provides scientific, technical and programmatic support services to ACESO.

ACESO aims to identify host-based markers capable of accurately diagnosing and prognosing patients with severe infections in austere settings and transitioning those markers to point-of-care assay platforms.

The ideal candidate will collaborate with scientists and clinical investigators analyzing complex data and developing insights through the use of mathematical modelling, data mining, and data visualization techniques The candidate will also work closely with other ACESO data scientists to analyze large, multi-omic datasets consisting of transcriptomic, proteomic, phosphoproteomic, and metabolomic data, as well as demographic, clinical, and outcome data from longitudinal cohorts of patients with sepsis. The candidate will need to communicate results on a regular basis with the science team and key stakeholders, as well as prepare manuscripts for publications in peer-reviewed journals and presentations at scientific conferences.
Responsibilities: *
Develops analysis and data visualization of complex, multi-omics datasets (including RNA sequence data, proteomic, phosphoproteomic, and metabolomics data). (35%)
Analyzes longitudinal data using dynamical systems modeling techniques. Applies advanced mathematical and predictive modeling techniques. Develops innovative approaches to answer research questions. (25%)
Integrates and prepares large datasets, develops specialized database and computing environments as needed. (10%)
Provides subject matter expertise as needed, including recommendations on data collection and integration. Communicates results on a regular basis with the science team and key stakeholders, and prepares presentations and reports as needed. Assists in the development of the analytical methods sections for protocols, grant applications and manuscripts. (10%)
Provides relevant analysis and project status updates to research staff. Works with research staff to achieve the goals of the research program. (10%)
Responsible for assuring that data for analyses and output are complete and accurate, ensuring conclusions are valid. Interact with data management personnel as necessary to ensure that datasets are in usable format. (10%)
May perform other duties and responsibilities as assigned or directed by the supervisor.
Required Knowledge, Skills and Abilities*: Knowledge of applicable complex scientific procedures and techniques; excellent communication skills; ability to troubleshoot technical procedures; ability to work independently and as part of a team. Experience or training in computational algorithms used to analyze complex biological datasets, such as but not limited to dynamical systems and longitudinal analyses, are required. Experience with machine learning and data mining/pattern recognition approaches preferred. Strong computer skills and hands-on experience in analyzing and modeling of microarray data, next-generation sequencing and biomarker assay data, and other clinical data. A strong interest in bioinformatics, systems biology, applied mathematics, machine learning, modeling data, and development of decision support tools. Strong time management skills; can prioritize multiple assignments and ability to meet deadlines of projects.
Minimum Education*: Doctoral degree in Mathematics, engineering, data science, computer science, or related field required.
Minimum Experience/ Training Requirements*: 2-5 years of experience required.
Work Environment: * Set in an office environment.
Travel Requirements: * This position will be based in Bethesda, MD; however, incumbent will be required to meet with partners, sponsors, and/or attend local conferences/training events within a 50-miles radius of Bethesda, MD. Any travel over 50-miles will be reimbursed by the program.
Employment with HJF is contingent upon successful completion of a background check, which may include, but is not limited to, contacting your professional references, verification of previous employment, addresses, education, and credentials, a criminal background check, drug screening, and a department of motor vehicle (DMV) check. *
_Any qualifications to be considered as equivalents, in lieu of stated minimums, require the prior approval of the Chief Human Resources Officer._

Job Type: Full-time

Pay: $0.00 per year

Benefits:
401(k)
Dental Insurance
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Education:
Doctorate (Required)
Work Location:
One location
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Team-oriented -- cooperative and collaborative
Company's website:
https://careers.hjf.org/
Company's Facebook page:
https://www.facebook.com/HJFMilMedicine/
Work Remotely:
Yes",3.5,"The Henry M. Jackson Foundation
3.5","Bethesda, MD",-1,1001 to 5000 Employees,1983,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),-1
Data Scientist,$71K-$118K (Glassdoor est.),"Job Description:

Our Advanced Data Analytics division in Reston, VA is seeking a talented Data Scientist for R&D projects with large amounts of complex data. As a Data Scientist you will be responsible for designing, implementing, and analyzing the results of innovative solutions to clients’ challenging machine learning and data mining problems. Applicants interested in applying only off-the-shelf solutions need not apply. Project teams are small, typically 2-5 people including Data Scientists, Mathematicians, and Software Developers. Each person is involved in the project’s entire process, from concept through design and implementation to demonstration. Our management structure gives you the freedom to create innovative designs and products. The ideal candidate will have experience writing well-documented, maintainable, and extensible software and APIs.

Required Qualifications:
Bachelor’s or Master’s degree in Machine Learning, Data Science, Computer Science, Mathematics, Statistics, or a related field
Significant experience developing and knowledge of best practices for evaluating innovative, scalable anomaly detection, classification, recommendation, and related algorithms
Significant programming experience in Python, Java, Scala, or R
Experience with machine learning software libraries such as scikit-learn and Weka
Understanding of deep learning algorithms and experience with related libraries such as TensorFlow, Torch, and Deeplearning4j a plus
Experience with big data tools such as Apache Spark, Mahout, or Storm a plus
Experience with NLP (Natural Language Processing) a plus
Ability to communicate algorithm design, performance metrics, and data analyses in written and oral reports
US CITIZENSHIP REQUIRED; applicants selected will be subject to a security investigation and will need to meet eligibility requirements for access to classified information

Position Location: Reston, VA

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or protected veteran status. Metron takes affirmative action in support of its policy to employ and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities.

VEVRAA Federal Contractor",3.0,"Metron, Inc.
3.0","Reston, VA",-1,51 to 200 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$25 to $50 million (USD),-1
Data Scientist,$71K-$118K (Glassdoor est.),"STRATACACHE provides salable customer experiences, empowering retailers to learn deeply about their customers’ shopping preferences and behaviors, allowing for personalized shopper interaction. Our solutions deliver consumer activation at the point-of-decision, generating new sales opportunities and enhanced retail profitability. With 3 million+ software activations globally, we power the biggest digital networks for the world’s largest brands. Across the STRATACACHE family of complementary digital media/ad tech solution companies, we have the technology, expertise and track record to bring retail innovation that delivers results.

Learn more about the STRATACACHE family at www.stratacache.com.

Data Scientist

Do you love data? Do you enjoy creating statistical models and finding insights that make a difference? Are you interested in the future of retail, commerce, and customer analytics? If so, this is the role for you. In this role you will have the opportunity to work with software engineering, sales, and product organizations to develop innovative, impactful data applications. Your efforts will enhance the overall product quality utilizing many aspects of data science, including various types of modeling that drive toward strategic analytics. You will be focused on the future of the restaurant and retail experience by discovering insights while creating strategic, marketing, retail, customer experience and digital analytics. Your background in statistics, data science, big data, normalization, modeling, quantitative research, and/or analytics consulting will be very beneficial as you take on this exciting position in the company and join our Data Science team. In this role you will also have the opportunity to continue to build and improve the marketing of technology products that are influenced by data, understand human behavior and determine how to influence and impact the retail marketplace with exciting new solutions and insights.

Responsibilities include:

Design, build, and deliver statistical models and related actionable data-focused results to support product and customer requirements and initiatives.
Work closely with engineering, product and sales teams to understand business and technical requirements, translate these into important discovery directives, and follow through to optimize and support the enhancement and growth of Stratacache products.
Establish and make effective use of internal and external datasets to back up and support key strategic, product, and customer decision-making efforts.
Serve as the data science expert on cross-functional teams for large strategic initiatives and education on accessing and utilizing qualified and focused data for decision making.
Analyze, propose, design and successfully deliver data experiments for engineering, product and sales teams to ensure statistical rigor and effectiveness.
Provide expertise and professionalism in handling sensitive, privacy-protected data, including sources, structures, organization, and optimization.
Communicate complex ideas about our product through visual aids like charts and dashboards.
Keep up-to-date with emerging data science and statistical technologies, methods and practices.
Create and/or use existing data models for predictions regarding user behavior.
Communicate ideas, processes, and results to all levels of internal and external clients and teams.
Basic & Preferred Qualifications
Bachelor's degree required in Computer Science, Mathematics, Statistics, Quantitative Analysis, or other technical field related to software development.
Minimum 3 years of related experience working with data science and statistical modeling.
Experience in the QSR, retail or ecommerce industries from a data perspective is required.
Experience with recommendation engines and discovering new and advanced modeling methods i.e. deep neural networks, gradient boosted decision trees, etc.. is required.
Experience with SQL and at least one functional or statistical programming language is required.
Minimum of 3 years of related experience working with R and Python is required.
Minimum of 3 years of related experience working with REST APIs is required.
Experience working with Postgres, Timescale DB and/or other related database technologies is required.
Ability to distill complex statistical concepts and methodology, and articulate insights to cross-functional teams and clients with varying levels of knowledge in this space is required.
Ability to work with distributed and remote teams is required.
Experience with complex query writing is required.
Experience with result-set performance tuning and related data administration is required.
Experience with big data technologies is required.
Experience and understanding of various statistical modeling tools and platforms is required.
Experience in ecommerce, wifi, app messaging, social and other datasets is beneficial.
Experience in machine learning and artificial intelligence methods and practice is beneficial.
Understanding and experience with database technologies is beneficial including Oracle, SQLServer, etc..
Understanding and experience with BI technologies is beneficial: Tableau, Microstrategy, Microsoft, OBI, etc..
Experience with kafka, Go, or Redis is beneficial.
Understanding of data modeling techniques and star schemas is beneficial.
Experience with Hadoop and MapReduce is beneficial.
Experience with ftp, file transfers, data exchange methodologies.
A solid understanding of methodology, data and systems from a broad range of research and analytics providers, including emerging tools and methods is required.
Ability to articulate and tie data to business strategy.
Microsoft Excel and PowerPoint skills
Self-motivated, self-starter with a team-centric focus while working in a fluid environment.
Exceptional communication skills: verbal, written, and presentation.
Experience in the following areas: strategic analytics, marketing analytics, digital analytics, data analytics, statistics, data science, big data, normalization, modeling, quant research, analytics consulting.
Desire and interest to uncover and discover insights using disparate data sources.
Desire and interest in being the “Go To” person for data science.
Dynamic personality and passion for data, analytics, visualizations and storytelling is beneficial for this role.
Keen sense of user interface design, style, aesthetics and effective visual presentation.
Experience with agile development methodologies.
Ability to work effectively in fast-paced, results-oriented work environment.
Ability to handle and adjust to change in requirements and direction.
Positive attitude, attention to detail, and great problem solving skills are important.

STRATACACHE and its family of companies provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, age, disability, genetic information, pregnancy, childbirth or related medical condition, veteran, marital, parental, citizenship, or domestic partner status, or any other status protected by applicable national, federal, state or local law.

While we are excited and appreciate you interest in our opportunities, please keep in mind that we are not able to contact all applicants that have applied.

No vendor/agency solicitation please.",3.6,"STRATACACHE
3.6","Dayton, OH",-1,201 to 500 Employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
Clinical Data Analyst - Population Health,$71K-$118K (Glassdoor est.),"Position Summary

The Clinical Data Analyst for the Population Health Department will act in the role of Database Developer and Insights Analyst. Ideal candidate will help develop the overall architecture, design, development, and strategy for building Population Health Analytics databases within the RWJBH data infrastructure. The new team member will help manage healthcare databases including claims and EMR/EHR data which will be used to conduct quantitative analyses on a wide range of health care delivery and quality issues, such as outcomes, utilization, cost, and patient experience metrics. Moreover, the Clinical Data Analyst will quickly learn to gain insight into healthcare trends, predictive modeling methodologies, benchmarking and interpretation of data, innovative payment methods, program evaluation, quality metrics and analytic modeling using a variety of different tools, strategies, algorithms, and programming languages.

Essential Duties & Responsibilities:

The essential duties and responsibilities of the Senior Clinical Data Analyst for Population Health Analytics include:

Learn to use Database (DB) developer creating OLAP cubes and OLTP solutions using MS SQL Server Analysis Services (SSAS)
Write SQL/SAS queries for ETL processes
Assist in testing and maintaining data integrity for multiple databases
Plan and execute reporting, evaluation, and analytic projects
Interpret/translate analytic concepts, approaches and results for executive audiences
Achieve clinical reporting and support of population health management objectives
Self-driven and work both independently and on multi-disciplinary teams

Job Requirements:

Bachelor s degree in software engineering, computer science, economics or other engineering field
Must have hands-on expertise as DB developer
1-3 years designing and execution of Data Warehouse
Database Management 3-5 years experience in writing stored procedures, functions and views using SQL
Knowledge of SQL Server Analysis Services (SSAS);
Extensive use of SQL Server Integration Services (SSIS) and SSRS packages
Analytical, statistics, predictive modelling, and problem solving skills
Experience using health transaction and survey results databases
Able to apply statistical, analytic and visualization tools such as R, Python, SAS, and Tableau
Strength in ETL processes
Knowledge of healthcare coding systems: CPT4, ICD-10, revenue codes, HCPCs, NDC, and LOINC, and of EMR systems and RHIO data.
VBA skills, a plus
Excellent interpersonal skills
Excellent oral, written communication, and presentation skills

Other Duties:

Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.

We offer a great work environment, competitive rates and excellent benefits, including:

Medical/Dental/Vision plans

401 (k)

Vacation/Personal/Holiday/Sick Time Off

Short & Long Term Disability

Basic Life & Accidental Death Insurance

Tuition Reimbursement

Health Care/Dependent Care Flexible Spending Accounts

RWJBarnabas Health is the most comprehensive health care delivery system in New Jersey and the state s second largest private employer with more than 32,000 employees, 9,000 physicians and 1,000 residents and interns. The system includes eleven acute care hospitals, three acute care children s hospitals and a leading pediatric rehabilitation hospital (Children s Specialized Hospital).",-1,RWJ Somerset,"Somerset, NJ",-1,-1,-1,-1,-1,-1,-1,-1
Internship - Data Science,$71K-$118K (Glassdoor est.),"Internship - Data Science

Job Details
Level
Entry
Job Location
NLC - Washington, DC
Position Type
Internship
Education Level
4 Year Degree
Salary Range
$15.00 - $15.00 Hourly
Travel Percentage
None
Job Shift
Day
Job Category
Undisclosed
Description
The National League of Cities (NLC) is seeking talented young leaders looking to make a change to a career in data science. In recent years Big Data analytics has been a growing challenge and need for cities big and small-- to help improve decision making, the delivery of public services, and effective use of public dollars.

Intern activities may include but are not limited to:
Advise NLC program teams on best data science tools and techniques to support their work;
Collaborate in development of member retention model using internal member database;
Support data requests from NLC staff, members, corporate partners, and other partners; and
Contribute to NLC’s long-term data strategy and vision including the identification of data and research most timely and relevant to our member cities.
Interns will have the opportunity to:
Engage with member cities and corporate and other organizational partners
Collaborate and network with NLC staff and other interns;
Attend conferences, webinars, and trainings to learn new technical and research skills; and
Participate in NLC events such as Congressional City Conference (CCC) and City Summit.
Skills and Qualifications
Currently enrolled in and pursuing a graduate degree in Data Science, Public Policy, or other related degree program such as an MBA
Coursework or professional experience with data management and hygiene
Database management and developing queries using SQL
Familiarity with data analytics tools and packages such as R, Python, SAS, and ArcGIS
Excellent oral, written, and interpersonal communication skills
Experience with natural language processing and machine learning a plus
Passion for cities both large and small! What makes each community unique and how can we unleash the full potential of each?
We currently have 2 intern positions to start in August 2020 and end in December 2020 and are looking for candidates who can work 10-20hrs/week Monday through Friday. Pay will be $15.00/hr. Applicants MUST be U.S. citizens or permanent residents. Please elaborate on your skills and qualifications in your cover letter and send with resume to David Park (park@nlc.org).
Qualifications",2.6,"National League of Cities
2.6","Washington, DC",-1,51 to 200 Employees,1991,Nonprofit Organization,Membership Organizations,Business Services,$5 to $10 million (USD),-1
Internship - Data Analytics,$71K-$118K (Glassdoor est.),"Company: Clayton & McKervey
Industry: Public Accounting
Level: Internship
Job Family:
Location: Southfield, Michigan
Compensation:
About Us
Clayton & McKervey is a public accounting firm headquartered in metro Detroit and specializing in international tax, assurance, accounting and consulting services. We’re proud of our Michigan roots, but consider the entire world our workplace. Our clients are middle-market companies competing in the global marketplace. They’re headquartered here in the U.S. and abroad. At Clayton & McKervey we think and act like entrepreneurs; speaking the same language as our entrepreneurial clients.
For more information:
website: claytonmckervey.com
phone number: (248) 208-8860
Facebook Created with Sketch. Twitter Created with Sketch. LinkedIn Created with Sketch.
Legal Disclaimer: Clayton & McKervey is an equal opportunity employer. view full text Clayton & McKervey is committed to creating a diverse environment. We are proud to provide equal employment opportunities without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, marital status, veteran status, or any other protected characteristic under applicable law. view full text
photo_library +12 Photos
video_library 3 Videos
Share Created with bin/sketchtool.
Close Created with Sketch.
Facebook Created with Sketch.
Twitter Created with Sketch.
LinkedIn Created with Sketch.
Email Created with Sketch.
Overview
48_Innovation Created with Sketch.
Innovation
As a Data Analyst Intern, you will be responsible for helping the firm transform raw data into action items and in finding and implementing process improvement ideas.
48_Technical Created with Sketch.
Technical
You will make full use of your existing technical and communication skills while learning new skills along the way.
Responsibilities
48_Prepare Created with Sketch.
Prepare
Prepare information and data for analysis.
48_Performance Created with Sketch.
Performance
Help perform root-cause analysis on internal and external data processes to answer specific business questions, identify points of interest and find ways to improve the process based on these results.
48_Architecture Created with Sketch.
Provide
Provide research and administrative assistance for special projects as assigned.
48_Teamwork Created with Sketch.
Teamwork
In addition to the core responsibilities of the position, may be asked, or may seek, to engage unique abilities, strengths and passions through participation on cross-functional teams.
48_Analyze Created with Sketch.
Analysis
Analyze data to understand what is happening and identify patterns or changes; Apply quantitative techniques to uncover latent patterns in the data.
Requirements
48_Degree Created with Sketch.
Education
Working toward a Bachelor's degree in Data Science, Computer Science or a related field with a minimum GPA of 3.2
48_Organization Created with Sketch.
Organization
Ability to prioritize multiple projects, work under tight deadlines, and handle changing priorities.
48_Analyze Created with Sketch.
Analysis
Results oriented with strong problem-solving and analytical skills.
48_Communication Created with Sketch.
Communication
Excellent written and verbal communication skills.
48_Data Entry Created with Sketch.
Technology
Proficient in a programming language suitable for data analysis. Experience with Microsoft Power BI, Tableau, SQL, Python or similar technology.
About Us
Clayton & McKervey is a public accounting firm headquartered in metro Detroit and specializing in international tax, assurance, accounting and consulting services. We’re proud of our Michigan roots, but consider the entire world our workplace. Our clients are middle-market companies competing in the global marketplace. They’re headquartered here in the U.S. and abroad. At Clayton & McKervey we think and act like entrepreneurs; speaking the same language as our entrepreneurial clients.
For more information:
website: claytonmckervey.com
phone number: (248) 208-8860
Facebook Created with Sketch. Twitter Created with Sketch. LinkedIn Created with Sketch.
Legal Disclaimer: Clayton & McKervey is an equal opportunity employer. view full text Clayton & McKervey is committed to creating a diverse environment. We are proud to provide equal employment opportunities without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, marital status, veteran status, or any other protected characteristic under applicable law. view full text
photo_library +12 Photos
video_library 3 Videos
Apply Now",4.4,"Clayton & McKervey P.C.
4.4","Southfield, MI",-1,51 to 200 Employees,1953,Private Practice / Firm,Accounting,Accounting & Legal,Unknown / Non-Applicable,-1
